X1,X2,Y,YHat
1.2,0.40000000000000002,37.41873213492309,36.700853099193843
1.3,0.30000000000000004,33.851992271346418,33.331403478534547
1.4000000000000001,0.19999999999999996,30.380014852058775,30.271297913597206
1.5000000000000002,0.099999999999999867,27.944329830384827,27.492135996130084
1.6000000000000003,0,25.173974566474865,24.968124716258536
1.7000000000000004,-0.10000000000000031,22.995595896145819,22.67583908119737
1.8000000000000005,-0.2000000000000004,20.855423250690951,20.594004711196025
1.9000000000000006,-0.30000000000000049,19.124890544816562,18.703300395019799
2.0000000000000009,-0.40000000000000058,17.230334834794718,16.986178772512879
2.1000000000000005,-0.50000000000000067,15.162927046954472,15.426703480022956
2.2000000000000011,-0.60000000000000075,13.779911943492122,14.010401247257462
2.3000000000000007,-0.70000000000000084,12.828038268237739,12.724127572902637
2.4000000000000012,-0.80000000000000093,11.368722090113554,11.555944732360468
2.5000000000000009,-0.90000000000000102,10.855387678585874,10.495010985409847
2.6000000000000014,-1.0000000000000009,9.0650998347817691,9.5314799555444658
2.7000000000000011,-1.1000000000000014,8.4989792718453891,8.6564092471407648
2.8000000000000016,-1.2000000000000011,8.127997813427962,7.8616774523452317
2.9000000000000012,-1.3000000000000016,7.3480081121141385,7.1399087774330718
3.0000000000000018,-1.4000000000000012,6.3255630055823726,6.4844045891069468
3.1000000000000014,-1.5000000000000018,6.1287289993633802,5.8890812454256443
3.200000000000002,-1.6000000000000014,5.7808523562736704,5.348413634381294
3.3000000000000016,-1.700000000000002,4.9264047171153056,4.857383896113677
3.4000000000000021,-1.8000000000000016,4.1648788096120901,4.4114348528606167
3.5000000000000018,-1.9000000000000021,4.0890888989107737,4.0064277144336025
